Region,Population,Year,Age
Queenstown-Lakes district,29700,2013,"Total people, age"
Dunedin city,123500,2013,"Total people, age"
Clutha district,17250,2013,"Total people, age"
Southland district,30300,2013,"Total people, age"
Gore district,12400,2013,"Total people, age"
Invercargill city,53200,2013,"Total people, age"
Area outside territorial authority,50,2013,"Total people, age"
"Total, New Zealand by territorial authority/SA2",4900600,2018,"Total people, age"
Far North district,67900,2018,"Total people, age"
Whangarei district,94100,2018,"Total people, age"
Kaipara district,23700,2018,"Total people, age"
Auckland,1654800,2018,"Total people, age"
Rodney local board area,69100,2018,"Total people, age"
Hibiscus and Bays local board area,108500,2018,"Total people, age"
Upper Harbour local board area,66800,2018,"Total people, age"
Kaipatiki local board area,92900,2018,"Total people, age"
Devonport-Takapuna local board area,60500,2018,"Total people, age"
Henderson-Massey local board area,124600,2018,"Total people, age"
Waitakere Ranges local board area,54200,2018,"Total people, age"
Aotea/Great Barrier local board area,960,2018,"Total people, age"
Waiheke local board area,9360,2018,"Total people, age"
Waitemata local board area,88500,2018,"Total people, age"
Whau local board area,84100,2018,"Total people, age"
Albert-Eden local board area,103700,2018,"Total people, age"
Puketapapa local board area,60900,2018,"Total people, age"
Orakei local board area,87700,2018,"Total people, age"
Maungakiekie-Tamaki local board area,80500,2018,"Total people, age"
Howick local board area,149400,2018,"Total people, age"
Mangere-Otahuhu local board area,82700,2018,"Total people, age"
Otara-Papatoetoe local board area,90500,2018,"Total people, age"
Manurewa local board area,100900,2018,"Total people, age"
Papakura local board area,61100,2018,"Total people, age"
Franklin local board area,77700,2018,"Total people, age"
Thames-Coromandel district,30700,2018,"Total people, age"
Hauraki district,20700,2018,"Total people, age"
Waikato district,78200,2018,"Total people, age"
Matamata-Piako district,35300,2018,"Total people, age"
Hamilton city,168600,2018,"Total people, age"
Waipa district,55000,2018,"Total people, age"
Otorohanga district,10500,2018,"Total people, age"
South Waikato district,24800,2018,"Total people, age"
Waitomo district,9630,2018,"Total people, age"
Taupo district,38600,2018,"Total people, age"
Western Bay of Plenty district,53000,2018,"Total people, age"
Tauranga city,142500,2018,"Total people, age"
Rotorua district,74800,2018,"Total people, age"
Whakatane district,37100,2018,"Total people, age"
Kawerau district,7460,2018,"Total people, age"
Opotiki district,9670,2018,"Total people, age"
Gisborne district,49500,2018,"Total people, age"
Wairoa district,8720,2018,"Total people, age"
Hastings district,84700,2018,"Total people, age"
Napier city,64200,2018,"Total people, age"
Central Hawke's Bay district,14650,2018,"Total people, age"
New Plymouth district,83300,2018,"Total people, age"
Stratford district,9710,2018,"Total people, age"
South Taranaki district,28300,2018,"Total people, age"
Ruapehu district,12750,2018,"Total people, age"
Whanganui district,46800,2018,"Total people, age"
Rangitikei district,15450,2018,"Total people, age"
Manawatu district,31100,2018,"Total people, age"
Palmerston North city,88300,2018,"Total people, age"
Tararua district,18450,2018,"Total people, age"
Horowhenua district,34500,2018,"Total people, age"
Kapiti Coast district,55200,2018,"Total people, age"
Porirua city,58900,2018,"Total people, age"
Upper Hutt city,45400,2018,"Total people, age"
Lower Hutt city,108600,2018,"Total people, age"
Wellington city,211200,2018,"Total people, age"
Masterton district,26400,2018,"Total people, age"
Carterton district,9510,2018,"Total people, age"
South Wairarapa district,10900,2018,"Total people, age"
Tasman district,54000,2018,"Total people, age"
Nelson city,52700,2018,"Total people, age"
Marlborough district,48700,2018,"Total people, age"
Kaikoura district,4060,2018,"Total people, age"
Buller district,9850,2018,"Total people, age"
Grey district,13750,2018,"Total people, age"
Westland district,8830,2018,"Total people, age"
Hurunui district,12950,2018,"Total people, age"
Waimakariri district,61300,2018,"Total people, age"
Christchurch city,383800,2018,"Total people, age"
Selwyn district,63300,2018,"Total people, age"
Ashburton district,34600,2018,"Total people, age"
Timaru district,47600,2018,"Total people, age"
Mackenzie district,5100,2018,"Total people, age"
Waimate district,8120,2018,"Total people, age"
Chatham Islands territory,690,2018,"Total people, age"
Waitaki district,22900,2018,"Total people, age"
Central Otago district,22200,2018,"Total people, age"
Queenstown-Lakes district,42500,2018,"Total people, age"
Dunedin city,131200,2018,"Total people, age"
Clutha district,18050,2018,"Total people, age"
Southland district,31900,2018,"Total people, age"
Gore district,12800,2018,"Total people, age"
Invercargill city,55900,2018,"Total people, age"
Area outside territorial authority,40,2018,"Total people, age"
"Total, New Zealand by territorial authority/SA2",5223100,2023,"Total people, age"
Far North district,74700,2023,"Total people, age"
Whangarei district,101900,2023,"Total people, age"
Kaipara district,27300,2023,"Total people, age"
Auckland,1739300,2023,"Total people, age"
Rodney local board area,81000,2023,"Total people, age"
Hibiscus and Bays local board area,117200,2023,"Total people, age"
Upper Harbour local board area,74500,2023,"Total people, age"
Kaipatiki local board area,91300,2023,"Total people, age"
Devonport-Takapuna local board area,58600,2023,"Total people, age"
Henderson-Massey local board area,131400,2023,"Total people, age"
Waitakere Ranges local board area,55600,2023,"Total people, age"
Aotea/Great Barrier local board area,1050,2023,"Total people, age"
Waiheke local board area,9420,2023,"Total people, age"
Waitemata local board area,86700,2023,"Total people, age"
Whau local board area,86300,2023,"Total people, age"
Albert-Eden local board area,99500,2023,"Total people, age"
Puketapapa local board area,61100,2023,"Total people, age"
Orakei local board area,86200,2023,"Total people, age"
Maungakiekie-Tamaki local board area,84100,2023,"Total people, age"
Howick local board area,157700,2023,"Total people, age"
Mangere-Otahuhu local board area,89200,2023,"Total people, age"
Otara-Papatoetoe local board area,96700,2023,"Total people, age"
Manurewa local board area,110900,2023,"Total people, age"
Papakura local board area,75800,2023,"Total people, age"
Franklin local board area,85300,2023,"Total people, age"
Thames-Coromandel district,33700,2023,"Total people, age"
Hauraki district,22400,2023,"Total people, age"
