Region,Population,Year,Age
"Total, New Zealand by territorial authority/SA2",306680,2001,35-39 Years
Far North district,4060,2001,35-39 Years
Whangarei district,5150,2001,35-39 Years
Kaipara district,1260,2001,35-39 Years
Auckland,102640,2001,35-39 Years
Rodney local board area,3740,2001,35-39 Years
Hibiscus and Bays local board area,5660,2001,35-39 Years
Upper Harbour local board area,3170,2001,35-39 Years
Kaipatiki local board area,6820,2001,35-39 Years
Devonport-Takapuna local board area,4120,2001,35-39 Years
Henderson-Massey local board area,7670,2001,35-39 Years
Waitakere Ranges local board area,4230,2001,35-39 Years
Aotea/Great Barrier local board area,85,2001,35-39 Years
Waiheke local board area,620,2001,35-39 Years
Waitemata local board area,4800,2001,35-39 Years
Whau local board area,5890,2001,35-39 Years
Albert-Eden local board area,8630,2001,35-39 Years
Puketapapa local board area,4140,2001,35-39 Years
Orakei local board area,5960,2001,35-39 Years
Maungakiekie-Tamaki local board area,5770,2001,35-39 Years
Howick local board area,7920,2001,35-39 Years
Mangere-Otahuhu local board area,4750,2001,35-39 Years
Otara-Papatoetoe local board area,5220,2001,35-39 Years
Manurewa local board area,5840,2001,35-39 Years
Papakura local board area,2940,2001,35-39 Years
Franklin local board area,4660,2001,35-39 Years
Thames-Coromandel district,1670,2001,35-39 Years
Hauraki district,1360,2001,35-39 Years
Waikato district,4290,2001,35-39 Years
Matamata-Piako district,2320,2001,35-39 Years
Hamilton city,8670,2001,35-39 Years
Waipa district,3170,2001,35-39 Years
Otorohanga district,760,2001,35-39 Years
South Waikato district,1840,2001,35-39 Years
Waitomo district,810,2001,35-39 Years
Taupo district,2500,2001,35-39 Years
Western Bay of Plenty district,2880,2001,35-39 Years
Tauranga city,6910,2001,35-39 Years
Rotorua district,5180,2001,35-39 Years
Whakatane district,2480,2001,35-39 Years
Kawerau district,540,2001,35-39 Years
Opotiki district,670,2001,35-39 Years
Gisborne district,3260,2001,35-39 Years
Wairoa district,650,2001,35-39 Years
Hastings district,5190,2001,35-39 Years
Napier city,3940,2001,35-39 Years
Central Hawke's Bay district,970,2001,35-39 Years
New Plymouth district,5060,2001,35-39 Years
Stratford district,680,2001,35-39 Years
South Taranaki district,2160,2001,35-39 Years
Ruapehu district,1200,2001,35-39 Years
Whanganui district,3100,2001,35-39 Years
Rangitikei district,1220,2001,35-39 Years
Manawatu district,2030,2001,35-39 Years
Palmerston North city,5640,2001,35-39 Years
Tararua district,1450,2001,35-39 Years
Horowhenua district,2190,2001,35-39 Years
Kapiti Coast district,3110,2001,35-39 Years
Porirua city,3970,2001,35-39 Years
Upper Hutt city,3100,2001,35-39 Years
Lower Hutt city,8220,2001,35-39 Years
Wellington city,15650,2001,35-39 Years
Masterton district,1590,2001,35-39 Years
Carterton district,490,2001,35-39 Years
South Wairarapa district,660,2001,35-39 Years
Tasman district,3330,2001,35-39 Years
Nelson city,3410,2001,35-39 Years
Marlborough district,2980,2001,35-39 Years
Kaikoura district,270,2001,35-39 Years
Buller district,800,2001,35-39 Years
Grey district,1050,2001,35-39 Years
Westland district,660,2001,35-39 Years
Hurunui district,800,2001,35-39 Years
Waimakariri district,3250,2001,35-39 Years
Christchurch city,25620,2001,35-39 Years
Selwyn district,2500,2001,35-39 Years
Ashburton district,2010,2001,35-39 Years
Timaru district,3070,2001,35-39 Years
Mackenzie district,310,2001,35-39 Years
Waimate district,510,2001,35-39 Years
Chatham Islands territory,60,2001,35-39 Years
Waitaki district,1420,2001,35-39 Years
Central Otago district,1030,2001,35-39 Years
Queenstown-Lakes district,1580,2001,35-39 Years
Dunedin city,8510,2001,35-39 Years
Clutha district,1390,2001,35-39 Years
Southland district,2460,2001,35-39 Years
Gore district,980,2001,35-39 Years
Invercargill city,3970,2001,35-39 Years
Area outside territorial authority,10,2001,35-39 Years
"Total, New Zealand by territorial authority/SA2",312560,2006,35-39 Years
Far North district,3680,2006,35-39 Years
Whangarei district,5290,2006,35-39 Years
Kaipara district,1190,2006,35-39 Years
Auckland,110290,2006,35-39 Years
Rodney local board area,4130,2006,35-39 Years
Hibiscus and Bays local board area,6500,2006,35-39 Years
Upper Harbour local board area,3910,2006,35-39 Years
Kaipatiki local board area,7260,2006,35-39 Years
Devonport-Takapuna local board area,4030,2006,35-39 Years
Henderson-Massey local board area,8550,2006,35-39 Years
Waitakere Ranges local board area,4290,2006,35-39 Years
Aotea/Great Barrier local board area,55,2006,35-39 Years
Waiheke local board area,650,2006,35-39 Years
Waitemata local board area,5560,2006,35-39 Years
Whau local board area,5860,2006,35-39 Years
Albert-Eden local board area,8420,2006,35-39 Years
Puketapapa local board area,3840,2006,35-39 Years
Orakei local board area,6170,2006,35-39 Years
Maungakiekie-Tamaki local board area,6210,2006,35-39 Years
Howick local board area,9360,2006,35-39 Years
Mangere-Otahuhu local board area,5330,2006,35-39 Years
Otara-Papatoetoe local board area,5710,2006,35-39 Years
Manurewa local board area,6310,2006,35-39 Years
Papakura local board area,3090,2006,35-39 Years
Franklin local board area,5060,2006,35-39 Years
Thames-Coromandel district,1620,2006,35-39 Years
Hauraki district,1200,2006,35-39 Years
Waikato district,4540,2006,35-39 Years
Matamata-Piako district,2250,2006,35-39 Years
Hamilton city,9520,2006,35-39 Years
Waipa district,3260,2006,35-39 Years
Otorohanga district,680,2006,35-39 Years
South Waikato district,1630,2006,35-39 Years
Waitomo district,640,2006,35-39 Years
Taupo district,2520,2006,35-39 Years
Western Bay of Plenty district,2810,2006,35-39 Years
Tauranga city,7520,2006,35-39 Years
Rotorua district,4940,2006,35-39 Years
Whakatane district,2260,2006,35-39 Years
Kawerau district,480,2006,35-39 Years
Opotiki district,580,2006,35-39 Years
Gisborne district,3070,2006,35-39 Years
Wairoa district,510,2006,35-39 Years
Hastings district,5100,2006,35-39 Years
Napier city,3860,2006,35-39 Years
Central Hawke's Bay district,890,2006,35-39 Years
New Plymouth district,4970,2006,35-39 Years
Stratford district,590,2006,35-39 Years
South Taranaki district,1940,2006,35-39 Years
Ruapehu district,1040,2006,35-39 Years
Whanganui district,2760,2006,35-39 Years
Rangitikei district,980,2006,35-39 Years
Manawatu district,1930,2006,35-39 Years
Palmerston North city,5390,2006,35-39 Years
Tararua district,1230,2006,35-39 Years
Horowhenua district,1860,2006,35-39 Years
Kapiti Coast district,3190,2006,35-39 Years
Porirua city,3970,2006,35-39 Years
Upper Hutt city,3140,2006,35-39 Years
Lower Hutt city,7950,2006,35-39 Years
Wellington city,16230,2006,35-39 Years
Masterton district,1450,2006,35-39 Years
Carterton district,490,2006,35-39 Years
South Wairarapa district,630,2006,35-39 Years
Tasman district,3370,2006,35-39 Years
Nelson city,3180,2006,35-39 Years
Marlborough district,2990,2006,35-39 Years
Kaikoura district,270,2006,35-39 Years
Buller district,680,2006,35-39 Years
Grey district,970,2006,35-39 Years
Westland district,650,2006,35-39 Years
Hurunui district,760,2006,35-39 Years
Waimakariri district,3570,2006,35-39 Years
Christchurch city,27260,2006,35-39 Years
Selwyn district,2970,2006,35-39 Years
Ashburton district,1990,2006,35-39 Years
Timaru district,2910,2006,35-39 Years
Mackenzie district,280,2006,35-39 Years
Waimate district,450,2006,35-39 Years
Chatham Islands territory,75,2006,35-39 Years
Waitaki district,1200,2006,35-39 Years
Central Otago district,1070,2006,35-39 Years
Queenstown-Lakes district,2270,2006,35-39 Years
Dunedin city,7890,2006,35-39 Years
Clutha district,1170,2006,35-39 Years
Southland district,2140,2006,35-39 Years
Gore district,800,2006,35-39 Years
Invercargill city,3540,2006,35-39 Years
Area outside territorial authority,10,2006,35-39 Years
"Total, New Zealand by territorial authority/SA2",276360,2013,35-39 Years
Far North district,2950,2013,35-39 Years
Whangarei district,4540,2013,35-39 Years
Kaipara district,1020,2013,35-39 Years
Auckland,99320,2013,35-39 Years
Rodney local board area,3140,2013,35-39 Years
Hibiscus and Bays local board area,5290,2013,35-39 Years
Upper Harbour local board area,3550,2013,35-39 Years
Kaipatiki local board area,6730,2013,35-39 Years
Devonport-Takapuna local board area,3690,2013,35-39 Years
Henderson-Massey local board area,8030,2013,35-39 Years
Waitakere Ranges local board area,3810,2013,35-39 Years
Aotea/Great Barrier local board area,55,2013,35-39 Years
Waiheke local board area,550,2013,35-39 Years
Waitemata local board area,5930,2013,35-39 Years
Whau local board area,5300,2013,35-39 Years
Albert-Eden local board area,7470,2013,35-39 Years
Puketapapa local board area,3550,2013,35-39 Years
Orakei local board area,5520,2013,35-39 Years
Maungakiekie-Tamaki local board area,5770,2013,35-39 Years
Howick local board area,8590,2013,35-39 Years
Mangere-Otahuhu local board area,4500,2013,35-39 Years
Otara-Papatoetoe local board area,5180,2013,35-39 Years
Manurewa local board area,5480,2013,35-39 Years
Papakura local board area,3010,2013,35-39 Years
Franklin local board area,4160,2013,35-39 Years
Thames-Coromandel district,1300,2013,35-39 Years
Hauraki district,880,2013,35-39 Years
Waikato district,4160,2013,35-39 Years
Matamata-Piako district,1800,2013,35-39 Years
Hamilton city,9510,2013,35-39 Years
Waipa district,2870,2013,35-39 Years
Otorohanga district,570,2013,35-39 Years
South Waikato district,1240,2013,35-39 Years
Waitomo district,500,2013,35-39 Years
Taupo district,2010,2013,35-39 Years
Western Bay of Plenty district,2220,2013,35-39 Years
Tauranga city,7280,2013,35-39 Years
Rotorua district,4190,2013,35-39 Years
Whakatane district,1940,2013,35-39 Years
Kawerau district,340,2013,35-39 Years
Opotiki district,410,2013,35-39 Years
Gisborne district,2680,2013,35-39 Years
Wairoa district,420,2013,35-39 Years
Hastings district,4400,2013,35-39 Years
Napier city,3460,2013,35-39 Years
Central Hawke's Bay district,750,2013,35-39 Years
New Plymouth district,4740,2013,35-39 Years
Stratford district,540,2013,35-39 Years
South Taranaki district,1570,2013,35-39 Years
Ruapehu district,710,2013,35-39 Years
Whanganui district,2260,2013,35-39 Years
Rangitikei district,740,2013,35-39 Years
Manawatu district,1670,2013,35-39 Years
Palmerston North city,4930,2013,35-39 Years
Tararua district,940,2013,35-39 Years
Horowhenua district,1450,2013,35-39 Years
Kapiti Coast district,2520,2013,35-39 Years
Porirua city,3720,2013,35-39 Years
Upper Hutt city,2740,2013,35-39 Years
Lower Hutt city,6770,2013,35-39 Years
Wellington city,14830,2013,35-39 Years
Masterton district,1200,2013,35-39 Years
Carterton district,490,2013,35-39 Years
South Wairarapa district,570,2013,35-39 Years
Tasman district,2720,2013,35-39 Years
Nelson city,2930,2013,35-39 Years
Marlborough district,2570,2013,35-39 Years
Kaikoura district,210,2013,35-39 Years
Buller district,610,2013,35-39 Years
Grey district,730,2013,35-39 Years
Westland district,530,2013,35-39 Years
Hurunui district,710,2013,35-39 Years
Waimakariri district,3000,2013,35-39 Years
Christchurch city,22550,2013,35-39 Years
Selwyn district,3110,2013,35-39 Years
Ashburton district,2010,2013,35-39 Years
Timaru district,2420,2013,35-39 Years
Mackenzie district,250,2013,35-39 Years
Waimate district,420,2013,35-39 Years
Chatham Islands territory,40,2013,35-39 Years
Waitaki district,1170,2013,35-39 Years
Central Otago district,1010,2013,35-39 Years
Queenstown-Lakes district,2610,2013,35-39 Years
Dunedin city,6630,2013,35-39 Years
Clutha district,1040,2013,35-39 Years
Southland district,1980,2013,35-39 Years
Gore district,660,2013,35-39 Years
Invercargill city,3300,2013,35-39 Years
Area outside territorial authority,5,2013,35-39 Years
"Total, New Zealand by territorial authority/SA2",310070,2018,35-39 Years
Far North district,3100,2018,35-39 Years
Whangarei district,4960,2018,35-39 Years
Kaipara district,1140,2018,35-39 Years
Auckland,117460,2018,35-39 Years
Rodney local board area,4010,2018,35-39 Years
Hibiscus and Bays local board area,7120,2018,35-39 Years
Upper Harbour local board area,5370,2018,35-39 Years
Kaipatiki local board area,7980,2018,35-39 Years
Devonport-Takapuna local board area,4050,2018,35-39 Years
Henderson-Massey local board area,9320,2018,35-39 Years
Waitakere Ranges local board area,3950,2018,35-39 Years
Aotea/Great Barrier local board area,50,2018,35-39 Years
Waiheke local board area,500,2018,35-39 Years
Waitemata local board area,7000,2018,35-39 Years
Whau local board area,6370,2018,35-39 Years
Albert-Eden local board area,7560,2018,35-39 Years
Puketapapa local board area,4290,2018,35-39 Years
Orakei local board area,5790,2018,35-39 Years
Maungakiekie-Tamaki local board area,6440,2018,35-39 Years
Howick local board area,11190,2018,35-39 Years
Mangere-Otahuhu local board area,5160,2018,35-39 Years
Otara-Papatoetoe local board area,5940,2018,35-39 Years
Manurewa local board area,6570,2018,35-39 Years
Papakura local board area,4210,2018,35-39 Years
Franklin local board area,4570,2018,35-39 Years
Thames-Coromandel district,1260,2018,35-39 Years
Hauraki district,910,2018,35-39 Years
Waikato district,4780,2018,35-39 Years
Matamata-Piako district,1890,2018,35-39 Years
Hamilton city,11350,2018,35-39 Years
Waipa district,3130,2018,35-39 Years
Otorohanga district,610,2018,35-39 Years
South Waikato district,1260,2018,35-39 Years
Waitomo district,580,2018,35-39 Years
Taupo district,2230,2018,35-39 Years
Western Bay of Plenty district,2570,2018,35-39 Years
Tauranga city,8600,2018,35-39 Years
Rotorua district,4300,2018,35-39 Years
Whakatane district,1920,2018,35-39 Years
Kawerau district,360,2018,35-39 Years
Opotiki district,450,2018,35-39 Years
Gisborne district,2700,2018,35-39 Years
Wairoa district,440,2018,35-39 Years
Hastings district,4640,2018,35-39 Years
Napier city,3430,2018,35-39 Years
Central Hawke's Bay district,770,2018,35-39 Years
New Plymouth district,5040,2018,35-39 Years
Stratford district,540,2018,35-39 Years
South Taranaki district,1660,2018,35-39 Years
Ruapehu district,690,2018,35-39 Years
Whanganui district,2380,2018,35-39 Years
Rangitikei district,750,2018,35-39 Years
Manawatu district,1730,2018,35-39 Years
Palmerston North city,5300,2018,35-39 Years
Tararua district,990,2018,35-39 Years
Horowhenua district,1540,2018,35-39 Years
Kapiti Coast district,2750,2018,35-39 Years
Porirua city,3880,2018,35-39 Years
Upper Hutt city,3030,2018,35-39 Years
Lower Hutt city,7660,2018,35-39 Years
Wellington city,15540,2018,35-39 Years
Masterton district,1390,2018,35-39 Years
Carterton district,490,2018,35-39 Years
South Wairarapa district,570,2018,35-39 Years
Tasman district,2700,2018,35-39 Years
Nelson city,3030,2018,35-39 Years
Marlborough district,2630,2018,35-39 Years
Kaikoura district,230,2018,35-39 Years
Buller district,460,2018,35-39 Years
Grey district,660,2018,35-39 Years
Westland district,530,2018,35-39 Years
Hurunui district,680,2018,35-39 Years
Waimakariri district,3250,2018,35-39 Years
Christchurch city,25310,2018,35-39 Years
Selwyn district,4210,2018,35-39 Years
Ashburton district,2130,2018,35-39 Years
Timaru district,2430,2018,35-39 Years
Mackenzie district,290,2018,35-39 Years
Waimate district,440,2018,35-39 Years
Chatham Islands territory,40,2018,35-39 Years
Waitaki district,1190,2018,35-39 Years
Central Otago district,1270,2018,35-39 Years
Queenstown-Lakes district,3580,2018,35-39 Years
Dunedin city,7110,2018,35-39 Years
Clutha district,990,2018,35-39 Years
Southland district,2030,2018,35-39 Years
Gore district,660,2018,35-39 Years
Invercargill city,3470,2018,35-39 Years
Area outside territorial authority,5,2018,35-39 Years
"Total, New Zealand by territorial authority/SA2",367030,2023,35-39 Years
Far North district,4010,2023,35-39 Years
Whangarei district,6590,2023,35-39 Years
Kaipara district,1500,2023,35-39 Years
Auckland,135620,2023,35-39 Years
Rodney local board area,5500,2023,35-39 Years
Hibiscus and Bays local board area,8070,2023,35-39 Years
Upper Harbour local board area,6540,2023,35-39 Years
Kaipatiki local board area,7820,2023,35-39 Years
Devonport-Takapuna local board area,3810,2023,35-39 Years
Henderson-Massey local board area,11260,2023,35-39 Years
Waitakere Ranges local board area,4050,2023,35-39 Years
Aotea/Great Barrier local board area,50,2023,35-39 Years
Waiheke local board area,660,2023,35-39 Years
Waitemata local board area,8770,2023,35-39 Years
Whau local board area,7570,2023,35-39 Years
Albert-Eden local board area,7490,2023,35-39 Years
Puketapapa local board area,4640,2023,35-39 Years
Orakei local board area,5500,2023,35-39 Years
Maungakiekie-Tamaki local board area,7460,2023,35-39 Years
Howick local board area,12100,2023,35-39 Years
Mangere-Otahuhu local board area,6280,2023,35-39 Years
Otara-Papatoetoe local board area,7390,2023,35-39 Years
Manurewa local board area,8510,2023,35-39 Years
Papakura local board area,6860,2023,35-39 Years
Franklin local board area,5300,2023,35-39 Years
Thames-Coromandel district,1470,2023,35-39 Years
Hauraki district,1240,2023,35-39 Years
Waikato district,6060,2023,35-39 Years
Matamata-Piako district,2220,2023,35-39 Years
Hamilton city,14300,2023,35-39 Years
Waipa district,3930,2023,35-39 Years
Otorohanga district,770,2023,35-39 Years
South Waikato district,1490,2023,35-39 Years
Waitomo district,520,2023,35-39 Years
Taupo district,2540,2023,35-39 Years
Western Bay of Plenty district,3610,2023,35-39 Years
Tauranga city,11240,2023,35-39 Years
Rotorua district,5230,2023,35-39 Years
Whakatane district,2310,2023,35-39 Years
Kawerau district,430,2023,35-39 Years
Opotiki district,580,2023,35-39 Years
Gisborne district,3290,2023,35-39 Years
Wairoa district,480,2023,35-39 Years
Hastings district,5860,2023,35-39 Years
Napier city,4060,2023,35-39 Years
Central Hawke's Bay district,970,2023,35-39 Years
New Plymouth district,5840,2023,35-39 Years
Stratford district,680,2023,35-39 Years
South Taranaki district,1910,2023,35-39 Years
Ruapehu district,810,2023,35-39 Years
Whanganui district,2740,2023,35-39 Years
Rangitikei district,970,2023,35-39 Years
Manawatu district,2100,2023,35-39 Years
Palmerston North city,6120,2023,35-39 Years
Tararua district,1070,2023,35-39 Years
Horowhenua district,1920,2023,35-39 Years
Kapiti Coast district,3020,2023,35-39 Years
Porirua city,4430,2023,35-39 Years
Upper Hutt city,3570,2023,35-39 Years
Lower Hutt city,8970,2023,35-39 Years
Wellington city,15510,2023,35-39 Years
Masterton district,1620,2023,35-39 Years
Carterton district,470,2023,35-39 Years
South Wairarapa district,640,2023,35-39 Years
Tasman district,3120,2023,35-39 Years
Nelson city,3730,2023,35-39 Years
Marlborough district,3350,2023,35-39 Years
Kaikoura district,240,2023,35-39 Years
Buller district,460,2023,35-39 Years
Grey district,810,2023,35-39 Years
Westland district,550,2023,35-39 Years
Hurunui district,850,2023,35-39 Years
Waimakariri district,3970,2023,35-39 Years
Christchurch city,29070,2023,35-39 Years
Selwyn district,6560,2023,35-39 Years
Ashburton district,2570,2023,35-39 Years
Timaru district,2920,2023,35-39 Years
Mackenzie district,400,2023,35-39 Years
Waimate district,520,2023,35-39 Years
Chatham Islands territory,45,2023,35-39 Years
Waitaki district,1450,2023,35-39 Years
Central Otago district,1800,2023,35-39 Years
Queenstown-Lakes district,5620,2023,35-39 Years
Dunedin city,8030,2023,35-39 Years
Clutha district,1180,2023,35-39 Years
Southland district,2290,2023,35-39 Years
Gore district,780,2023,35-39 Years
Invercargill city,3980,2023,35-39 Years
Area outside territorial authority,5,2023,35-39 Years
"Total, New Zealand by territorial authority/SA2",264200,1996,40-44 Years
Far North district,3770,1996,40-44 Years
Whangarei district,4840,1996,40-44 Years
Kaipara district,1270,1996,40-44 Years
Auckland,80330,1996,40-44 Years
Rodney local board area,3120,1996,40-44 Years
Hibiscus and Bays local board area,5380,1996,40-44 Years
Upper Harbour local board area,2010,1996,40-44 Years
Kaipatiki local board area,5340,1996,40-44 Years
Devonport-Takapuna local board area,3830,1996,40-44 Years
Henderson-Massey local board area,5470,1996,40-44 Years
Waitakere Ranges local board area,3380,1996,40-44 Years
Aotea/Great Barrier local board area,115,1996,40-44 Years
Waiheke local board area,520,1996,40-44 Years
Waitemata local board area,3300,1996,40-44 Years
Whau local board area,3950,1996,40-44 Years
Albert-Eden local board area,6460,1996,40-44 Years
Puketapapa local board area,3320,1996,40-44 Years
Orakei local board area,5640,1996,40-44 Years
Maungakiekie-Tamaki local board area,4070,1996,40-44 Years
Howick local board area,6690,1996,40-44 Years
Mangere-Otahuhu local board area,3570,1996,40-44 Years
Otara-Papatoetoe local board area,4100,1996,40-44 Years
Manurewa local board area,3780,1996,40-44 Years
Papakura local board area,2560,1996,40-44 Years
Franklin local board area,3720,1996,40-44 Years
Thames-Coromandel district,1750,1996,40-44 Years
Hauraki district,1320,1996,40-44 Years
Waikato district,3780,1996,40-44 Years
Matamata-Piako district,2060,1996,40-44 Years
Hamilton city,7510,1996,40-44 Years
Waipa district,2790,1996,40-44 Years
Otorohanga district,710,1996,40-44 Years
South Waikato district,1690,1996,40-44 Years
Waitomo district,660,1996,40-44 Years
Taupo district,2210,1996,40-44 Years
Western Bay of Plenty district,2590,1996,40-44 Years
Tauranga city,5490,1996,40-44 Years
Rotorua district,4510,1996,40-44 Years
Whakatane district,2330,1996,40-44 Years
Kawerau district,500,1996,40-44 Years
Opotiki district,610,1996,40-44 Years
Gisborne district,3360,1996,40-44 Years
Wairoa district,660,1996,40-44 Years
Hastings district,4790,1996,40-44 Years
Napier city,3690,1996,40-44 Years
Central Hawke's Bay district,1050,1996,40-44 Years
New Plymouth district,5060,1996,40-44 Years
Stratford district,630,1996,40-44 Years
South Taranaki district,2030,1996,40-44 Years
Ruapehu district,1120,1996,40-44 Years
Whanganui district,3180,1996,40-44 Years
Rangitikei district,1060,1996,40-44 Years
Manawatu district,2000,1996,40-44 Years
Palmerston North city,4820,1996,40-44 Years
Tararua district,1430,1996,40-44 Years
Horowhenua district,1910,1996,40-44 Years
Kapiti Coast district,2580,1996,40-44 Years
Porirua city,3420,1996,40-44 Years
Upper Hutt city,2650,1996,40-44 Years
Lower Hutt city,6830,1996,40-44 Years
Wellington city,11960,1996,40-44 Years
Masterton district,1750,1996,40-44 Years
Carterton district,570,1996,40-44 Years
South Wairarapa district,640,1996,40-44 Years
Tasman district,2950,1996,40-44 Years
Nelson city,3070,1996,40-44 Years
Marlborough district,2780,1996,40-44 Years
Kaikoura district,270,1996,40-44 Years
Buller district,790,1996,40-44 Years
Grey district,1020,1996,40-44 Years
Westland district,600,1996,40-44 Years
Hurunui district,750,1996,40-44 Years
Waimakariri district,2600,1996,40-44 Years
Christchurch city,22940,1996,40-44 Years
Selwyn district,1970,1996,40-44 Years
Ashburton district,1960,1996,40-44 Years
Timaru district,3140,1996,40-44 Years
Mackenzie district,330,1996,40-44 Years
Waimate district,580,1996,40-44 Years
Chatham Islands territory,55,1996,40-44 Years
Waitaki district,1580,1996,40-44 Years
Central Otago district,1170,1996,40-44 Years
Queenstown-Lakes district,1050,1996,40-44 Years
Dunedin city,8090,1996,40-44 Years
Clutha district,1360,1996,40-44 Years
Southland district,2420,1996,40-44 Years
Gore district,980,1996,40-44 Years
Invercargill city,3840,1996,40-44 Years
Area outside territorial authority,20,1996,40-44 Years
"Total, New Zealand by territorial authority/SA2",296880,2001,40-44 Years
Far North district,4280,2001,40-44 Years
Whangarei district,5280,2001,40-44 Years
Kaipara district,1390,2001,40-44 Years
Auckland,93590,2001,40-44 Years
Rodney local board area,3840,2001,40-44 Years
Hibiscus and Bays local board area,6280,2001,40-44 Years
Upper Harbour local board area,3050,2001,40-44 Years
Kaipatiki local board area,5920,2001,40-44 Years
Devonport-Takapuna local board area,4040,2001,40-44 Years
Henderson-Massey local board area,6730,2001,40-44 Years
Waitakere Ranges local board area,3950,2001,40-44 Years
Aotea/Great Barrier local board area,105,2001,40-44 Years
Waiheke local board area,630,2001,40-44 Years
Waitemata local board area,3880,2001,40-44 Years
Whau local board area,4980,2001,40-44 Years
Albert-Eden local board area,7150,2001,40-44 Years
Puketapapa local board area,3890,2001,40-44 Years
Orakei local board area,5870,2001,40-44 Years
Maungakiekie-Tamaki local board area,4560,2001,40-44 Years
Howick local board area,7950,2001,40-44 Years
Mangere-Otahuhu local board area,4070,2001,40-44 Years
Otara-Papatoetoe local board area,4510,2001,40-44 Years
Manurewa local board area,4900,2001,40-44 Years
Papakura local board area,2760,2001,40-44 Years
Franklin local board area,4510,2001,40-44 Years
Thames-Coromandel district,1810,2001,40-44 Years
Hauraki district,1370,2001,40-44 Years
Waikato district,4310,2001,40-44 Years
Matamata-Piako district,2390,2001,40-44 Years
Hamilton city,8360,2001,40-44 Years
Waipa district,3270,2001,40-44 Years
Otorohanga district,730,2001,40-44 Years
South Waikato district,1760,2001,40-44 Years
Waitomo district,750,2001,40-44 Years
Taupo district,2460,2001,40-44 Years
Western Bay of Plenty district,3110,2001,40-44 Years
Tauranga city,6780,2001,40-44 Years
Rotorua district,5160,2001,40-44 Years
Whakatane district,2570,2001,40-44 Years
Kawerau district,480,2001,40-44 Years
Opotiki district,710,2001,40-44 Years
Gisborne district,3400,2001,40-44 Years
Wairoa district,690,2001,40-44 Years
Hastings district,5340,2001,40-44 Years
Napier city,4090,2001,40-44 Years
Central Hawke's Bay district,1040,2001,40-44 Years
New Plymouth district,5450,2001,40-44 Years
Stratford district,730,2001,40-44 Years
South Taranaki district,2040,2001,40-44 Years
Ruapehu district,1140,2001,40-44 Years
Whanganui district,3280,2001,40-44 Years
Rangitikei district,1190,2001,40-44 Years
Manawatu district,2100,2001,40-44 Years
Palmerston North city,5440,2001,40-44 Years
Tararua district,1430,2001,40-44 Years
Horowhenua district,2160,2001,40-44 Years
Kapiti Coast district,3060,2001,40-44 Years
Porirua city,3700,2001,40-44 Years
Upper Hutt city,3050,2001,40-44 Years
Lower Hutt city,7820,2001,40-44 Years
Wellington city,13420,2001,40-44 Years
Masterton district,1770,2001,40-44 Years
Carterton district,570,2001,40-44 Years
South Wairarapa district,670,2001,40-44 Years
Tasman district,3530,2001,40-44 Years
Nelson city,3480,2001,40-44 Years
Marlborough district,3160,2001,40-44 Years
Kaikoura district,270,2001,40-44 Years
Buller district,840,2001,40-44 Years
Grey district,1090,2001,40-44 Years
Westland district,680,2001,40-44 Years
Hurunui district,850,2001,40-44 Years
Waimakariri district,3180,2001,40-44 Years
Christchurch city,25240,2001,40-44 Years
Selwyn district,2450,2001,40-44 Years
Ashburton district,1990,2001,40-44 Years
Timaru district,3250,2001,40-44 Years
Mackenzie district,310,2001,40-44 Years
Waimate district,560,2001,40-44 Years
Chatham Islands territory,60,2001,40-44 Years
Waitaki district,1550,2001,40-44 Years
Central Otago district,1170,2001,40-44 Years
Queenstown-Lakes district,1490,2001,40-44 Years
Dunedin city,8540,2001,40-44 Years
Clutha district,1480,2001,40-44 Years
Southland district,2480,2001,40-44 Years
Gore district,1030,2001,40-44 Years
Invercargill city,4010,2001,40-44 Years
Area outside territorial authority,10,2001,40-44 Years
"Total, New Zealand by territorial authority/SA2",322490,2006,40-44 Years
Far North district,4190,2006,40-44 Years
Whangarei district,5800,2006,40-44 Years
Kaipara district,1340,2006,40-44 Years
Auckland,110050,2006,40-44 Years
Rodney local board area,4560,2006,40-44 Years
Hibiscus and Bays local board area,7070,2006,40-44 Years
Upper Harbour local board area,4080,2006,40-44 Years
Kaipatiki local board area,6600,2006,40-44 Years
Devonport-Takapuna local board area,4630,2006,40-44 Years
Henderson-Massey local board area,8090,2006,40-44 Years
Waitakere Ranges local board area,4310,2006,40-44 Years
Aotea/Great Barrier local board area,65,2006,40-44 Years
Waiheke local board area,720,2006,40-44 Years
Waitemata local board area,4630,2006,40-44 Years
Whau local board area,5960,2006,40-44 Years
Albert-Eden local board area,8390,2006,40-44 Years
Puketapapa local board area,4340,2006,40-44 Years
Orakei local board area,6330,2006,40-44 Years
Maungakiekie-Tamaki local board area,5190,2006,40-44 Years
Howick local board area,10490,2006,40-44 Years
Mangere-Otahuhu local board area,4840,2006,40-44 Years
Otara-Papatoetoe local board area,5310,2006,40-44 Years
Manurewa local board area,5940,2006,40-44 Years
Papakura local board area,3190,2006,40-44 Years
Franklin local board area,5300,2006,40-44 Years
Thames-Coromandel district,1820,2006,40-44 Years
Hauraki district,1360,2006,40-44 Years
Waikato district,4850,2006,40-44 Years
Matamata-Piako district,2310,2006,40-44 Years
Hamilton city,9190,2006,40-44 Years
Waipa district,3490,2006,40-44 Years
