Region,Population,Year,Age
South Taranaki District,29600,2048,"Total people, age"
Ruapehu District,11650,2048,"Total people, age"
Whanganui District,51100,2048,"Total people, age"
Rangitikei District,17200,2048,"Total people, age"
Manawatu District,37600,2048,"Total people, age"
Palmerston North City,100300,2048,"Total people, age"
Tararua District,19350,2048,"Total people, age"
Horowhenua District,42000,2048,"Total people, age"
Kapiti Coast District,62200,2048,"Total people, age"
Porirua City,70200,2048,"Total people, age"
Upper Hutt City,54300,2048,"Total people, age"
Lower Hutt City,123900,2048,"Total people, age"
Wellington City,237300,2048,"Total people, age"
Masterton District,32100,2048,"Total people, age"
Carterton District,11650,2048,"Total people, age"
South Wairarapa District,13250,2048,"Total people, age"
Tasman District,67800,2048,"Total people, age"
Nelson City,57400,2048,"Total people, age"
Marlborough District,55200,2048,"Total people, age"
Kaikoura District,4070,2048,"Total people, age"
Buller District,8190,2048,"Total people, age"
Grey District,13450,2048,"Total people, age"
Westland District,8360,2048,"Total people, age"
Hurunui District,14900,2048,"Total people, age"
Waimakariri District,86400,2048,"Total people, age"
Christchurch City,447800,2048,"Total people, age"
Selwyn District,121500,2048,"Total people, age"
Ashburton District,41400,2048,"Total people, age"
Timaru District,49300,2048,"Total people, age"
Mackenzie District,6600,2048,"Total people, age"
Waimate District,8720,2048,"Total people, age"
Chatham Islands Territory,870,2048,"Total people, age"
Waitaki District,24800,2048,"Total people, age"
Central Otago District,32600,2048,"Total people, age"
Queenstown-Lakes District,69400,2048,"Total people, age"
Dunedin City,137600,2048,"Total people, age"
Clutha District,18900,2048,"Total people, age"
Southland District,33800,2048,"Total people, age"
Gore District,12550,2048,"Total people, age"
Invercargill City,59800,2048,"Total people, age"
Far North District,4430,2023,0-4 years
Whangarei District,6050,2023,0-4 years
Kaipara District,1620,2023,0-4 years
Auckland,102020,2023,0-4 years
Thames-Coromandel District,1310,2023,0-4 years
Hauraki District,1230,2023,0-4 years
Waikato District,6060,2023,0-4 years
Matamata-Piako District,2470,2023,0-4 years
Hamilton City,12880,2023,0-4 years
Waipa District,3690,2023,0-4 years
Otorohanga District,680,2023,0-4 years
South Waikato District,1880,2023,0-4 years
Waitomo District,630,2023,0-4 years
Taupo District,2510,2023,0-4 years
Western Bay of Plenty District,3260,2023,0-4 years
Tauranga City,9980,2023,0-4 years
Rotorua District,5060,2023,0-4 years
Whakatane District,2570,2023,0-4 years
Kawerau District,580,2023,0-4 years
Opotiki District,780,2023,0-4 years
Gisborne District,3580,2023,0-4 years
Wairoa District,660,2023,0-4 years
Hastings District,5700,2023,0-4 years
Napier City,3850,2023,0-4 years
Central Hawke's Bay District,970,2023,0-4 years
New Plymouth District,5240,2023,0-4 years
Stratford District,680,2023,0-4 years
South Taranaki District,1970,2023,0-4 years
Ruapehu District,860,2023,0-4 years
Whanganui District,2840,2023,0-4 years
Rangitikei District,1070,2023,0-4 years
Manawatu District,2050,2023,0-4 years
Palmerston North City,5640,2023,0-4 years
Tararua District,1140,2023,0-4 years
Horowhenua District,2180,2023,0-4 years
Kapiti Coast District,2660,2023,0-4 years
Porirua City,4300,2023,0-4 years
Upper Hutt City,3030,2023,0-4 years
Lower Hutt City,6970,2023,0-4 years
Wellington City,8640,2023,0-4 years
Masterton District,1810,2023,0-4 years
Carterton District,570,2023,0-4 years
South Wairarapa District,640,2023,0-4 years
Tasman District,2770,2023,0-4 years
Nelson City,2570,2023,0-4 years
Marlborough District,2540,2023,0-4 years
Kaikoura District,220,2023,0-4 years
Buller District,440,2023,0-4 years
Grey District,820,2023,0-4 years
Westland District,430,2023,0-4 years
Hurunui District,720,2023,0-4 years
Waimakariri District,3560,2023,0-4 years
Christchurch City,21710,2023,0-4 years
Selwyn District,5340,2023,0-4 years
Ashburton District,2150,2023,0-4 years
Timaru District,2460,2023,0-4 years
Mackenzie District,310,2023,0-4 years
Waimate District,420,2023,0-4 years
Chatham Islands Territory,50,2023,0-4 years
Waitaki District,1040,2023,0-4 years
Central Otago District,1310,2023,0-4 years
Queenstown-Lakes District,2690,2023,0-4 years
Dunedin City,6160,2023,0-4 years
Clutha District,1090,2023,0-4 years
Southland District,1850,2023,0-4 years
Gore District,640,2023,0-4 years
Invercargill City,3100,2023,0-4 years
Far North District,4500,2028,0-4 years
Whangarei District,6050,2028,0-4 years
Kaipara District,1670,2028,0-4 years
Auckland,98150,2028,0-4 years
Thames-Coromandel District,1310,2028,0-4 years
Hauraki District,1200,2028,0-4 years
Waikato District,6500,2028,0-4 years
Matamata-Piako District,2470,2028,0-4 years
