Region,Population,Year,Age,65 and over,Generation
Far North District,5070,2023,5-9 Years,False,Other
"Total, New Zealand",323280,2023,5-9 Years,False,Other
Hibiscus And Bays Local Board Area,7460,2023,5-9 Years,False,Other
Area Outside Territorial Authority,0,2023,10-14 Years,False,Other
Tararua District,1310,2023,10-14 Years,False,Other
Palmerston North City,6000,2023,10-14 Years,False,Other
Manawatu District,2440,2023,10-14 Years,False,Other
Rangitikei District,1080,2023,10-14 Years,False,Other
Whanganui District,3420,2023,10-14 Years,False,Other
Ruapehu District,950,2023,10-14 Years,False,Other
South Taranaki District,2260,2023,10-14 Years,False,Other
Stratford District,770,2023,10-14 Years,False,Other
New Plymouth District,6210,2023,10-14 Years,False,Other
Central Hawke's Bay District,1130,2023,10-14 Years,False,Other
Napier City,4470,2023,10-14 Years,False,Other
Hastings District,6810,2023,10-14 Years,False,Other
Wairoa District,740,2023,10-14 Years,False,Other
Gisborne District,4060,2023,10-14 Years,False,Other
Horowhenua District,2430,2023,10-14 Years,False,Other
Opotiki District,730,2023,10-14 Years,False,Other
Whakatane District,2910,2023,10-14 Years,False,Other
Rotorua District,6020,2023,10-14 Years,False,Other
Tauranga City,10830,2023,10-14 Years,False,Other
Western Bay of Plenty District,3790,2023,10-14 Years,False,Other
Taupo District,2690,2023,10-14 Years,False,Other
Waitomo District,680,2023,10-14 Years,False,Other
South Waikato District,1980,2023,10-14 Years,False,Other
Otorohanga District,810,2023,10-14 Years,False,Other
Waipa District,4370,2023,10-14 Years,False,Other
Hamilton City,12880,2023,10-14 Years,False,Other
Matamata-Piako District,2420,2023,10-14 Years,False,Other
Waikato District,7140,2023,10-14 Years,False,Other
Hauraki District,1450,2023,10-14 Years,False,Other
Thames-Coromandel District,1710,2023,10-14 Years,False,Other
Kawerau District,560,2023,10-14 Years,False,Other
Franklin Local Board Area,6090,2023,10-14 Years,False,Other
Kapiti Coast District,3490,2023,10-14 Years,False,Other
Upper Hutt City,3210,2023,10-14 Years,False,Other
Invercargill City,3920,2023,10-14 Years,False,Other
Gore District,850,2023,10-14 Years,False,Other
Southland District,2300,2023,10-14 Years,False,Other
Clutha District,1150,2023,10-14 Years,False,Other
Dunedin City,7450,2023,10-14 Years,False,Other
Queenstown-Lakes District,2690,2023,10-14 Years,False,Other
Central Otago District,1400,2023,10-14 Years,False,Other
Waitaki District,1550,2023,10-14 Years,False,Other
Chatham Islands Territory,45,2023,10-14 Years,False,Other
Waimate District,460,2023,10-14 Years,False,Other
Mackenzie District,280,2023,10-14 Years,False,Other
Timaru District,3110,2023,10-14 Years,False,Other
Ashburton District,2430,2023,10-14 Years,False,Other
Porirua City,4820,2023,10-14 Years,False,Other
Selwyn District,5870,2023,10-14 Years,False,Other
Waimakariri District,4380,2023,10-14 Years,False,Other
Hurunui District,890,2023,10-14 Years,False,Other
Westland District,450,2023,10-14 Years,False,Other
Grey District,990,2023,10-14 Years,False,Other
Buller District,490,2023,10-14 Years,False,Other
Kaikoura District,240,2023,10-14 Years,False,Other
Marlborough District,3000,2023,10-14 Years,False,Other
Nelson City,3430,2023,10-14 Years,False,Other
Tasman District,3660,2023,10-14 Years,False,Other
South Wairarapa District,700,2023,10-14 Years,False,Other
Carterton District,690,2023,10-14 Years,False,Other
Masterton District,1820,2023,10-14 Years,False,Other
Wellington City,11420,2023,10-14 Years,False,Other
Lower Hutt City,7450,2023,10-14 Years,False,Other
Christchurch City,22420,2023,10-14 Years,False,Other
Papakura Local Board Area,5360,2023,10-14 Years,False,Other
Otara-Papatoetoe Local Board Area,7680,2023,10-14 Years,False,Other
Manurewa Local Board Area,9300,2023,10-14 Years,False,Other
Mangere-Otahuhu Local Board Area,7830,2023,10-14 Years,False,Other
Howick Local Board Area,11040,2023,10-14 Years,False,Other
Maungakiekie-Tamaki Local Board Area,4980,2023,10-14 Years,False,Other
Orakei Local Board Area,5700,2023,10-14 Years,False,Other
Puketapapa Local Board Area,3550,2023,10-14 Years,False,Other
Albert-Eden Local Board Area,5990,2023,10-14 Years,False,Other
Whau Local Board Area,5350,2023,10-14 Years,False,Other
Waitemata Local Board Area,2550,2023,10-14 Years,False,Other
Waiheke Local Board Area,440,2023,10-14 Years,False,Other
Aotea/great Barrier Local Board Area,50,2023,10-14 Years,False,Other
Waitakere Ranges Local Board Area,4020,2023,10-14 Years,False,Other
Henderson-Massey Local Board Area,9280,2023,10-14 Years,False,Other
Devonport-Takapuna Local Board Area,3990,2023,10-14 Years,False,Other
Kaipatiki Local Board Area,5400,2023,10-14 Years,False,Other
Upper Harbour Local Board Area,4610,2023,10-14 Years,False,Other
Rodney Local Board Area,5190,2023,10-14 Years,False,Other
Auckland,116650,2023,10-14 Years,False,Other
Kaipara District,1670,2023,10-14 Years,False,Other
Whangarei District,7220,2023,10-14 Years,False,Other
Far North District,5480,2023,10-14 Years,False,Other
"Total, New Zealand",343130,2023,10-14 Years,False,Other
Hibiscus And Bays Local Board Area,8250,2023,10-14 Years,False,Other
Howick Local Board Area,10120,2023,15-19 Years,False,Gen Z
Palmerston North City,6670,2023,15-19 Years,False,Gen Z
Manawatu District,2010,2023,15-19 Years,False,Gen Z
Rangitikei District,1060,2023,15-19 Years,False,Gen Z
Whanganui District,2860,2023,15-19 Years,False,Gen Z
Ruapehu District,710,2023,15-19 Years,False,Gen Z
South Taranaki District,1870,2023,15-19 Years,False,Gen Z
Stratford District,580,2023,15-19 Years,False,Gen Z
New Plymouth District,5580,2023,15-19 Years,False,Gen Z
Central Hawke's Bay District,920,2023,15-19 Years,False,Gen Z
Napier City,4020,2023,15-19 Years,False,Gen Z
Hastings District,5880,2023,15-19 Years,False,Gen Z
Wairoa District,580,2023,15-19 Years,False,Gen Z
Gisborne District,3490,2023,15-19 Years,False,Gen Z
Opotiki District,640,2023,15-19 Years,False,Gen Z
Tararua District,1220,2023,15-19 Years,False,Gen Z
Kawerau District,530,2023,15-19 Years,False,Gen Z
Rotorua District,5140,2023,15-19 Years,False,Gen Z
Tauranga City,9490,2023,15-19 Years,False,Gen Z
Western Bay of Plenty District,3310,2023,15-19 Years,False,Gen Z
Taupo District,2430,2023,15-19 Years,False,Gen Z
Waitomo District,580,2023,15-19 Years,False,Gen Z
South Waikato District,1610,2023,15-19 Years,False,Gen Z
Otorohanga District,700,2023,15-19 Years,False,Gen Z
Waipa District,3840,2023,15-19 Years,False,Gen Z
Hamilton City,13080,2023,15-19 Years,False,Gen Z
Matamata-Piako District,2160,2023,15-19 Years,False,Gen Z
Waikato District,6110,2023,15-19 Years,False,Gen Z
Hauraki District,1160,2023,15-19 Years,False,Gen Z
Thames-Coromandel District,1450,2023,15-19 Years,False,Gen Z
Franklin Local Board Area,5330,2023,15-19 Years,False,Gen Z
Whakatane District,2570,2023,15-19 Years,False,Gen Z
Papakura Local Board Area,4630,2023,15-19 Years,False,Gen Z
Horowhenua District,2120,2023,15-19 Years,False,Gen Z
Porirua City,4310,2023,15-19 Years,False,Gen Z
Gore District,790,2023,15-19 Years,False,Gen Z
Southland District,1900,2023,15-19 Years,False,Gen Z
Clutha District,1040,2023,15-19 Years,False,Gen Z
Dunedin City,12380,2023,15-19 Years,False,Gen Z
Queenstown-Lakes District,2180,2023,15-19 Years,False,Gen Z
Central Otago District,1110,2023,15-19 Years,False,Gen Z
Waitaki District,1390,2023,15-19 Years,False,Gen Z
Chatham Islands Territory,35,2023,15-19 Years,False,Gen Z
Waimate District,420,2023,15-19 Years,False,Gen Z
Mackenzie District,260,2023,15-19 Years,False,Gen Z
Timaru District,2680,2023,15-19 Years,False,Gen Z
Ashburton District,2100,2023,15-19 Years,False,Gen Z
Selwyn District,5680,2023,15-19 Years,False,Gen Z
Kapiti Coast District,3190,2023,15-19 Years,False,Gen Z
Christchurch City,24090,2023,15-19 Years,False,Gen Z
Hurunui District,740,2023,15-19 Years,False,Gen Z
Westland District,410,2023,15-19 Years,False,Gen Z
Grey District,840,2023,15-19 Years,False,Gen Z
Buller District,420,2023,15-19 Years,False,Gen Z
Kaikoura District,140,2023,15-19 Years,False,Gen Z
Marlborough District,2650,2023,15-19 Years,False,Gen Z
Nelson City,3120,2023,15-19 Years,False,Gen Z
Tasman District,3550,2023,15-19 Years,False,Gen Z
South Wairarapa District,570,2023,15-19 Years,False,Gen Z
Carterton District,610,2023,15-19 Years,False,Gen Z
Masterton District,1700,2023,15-19 Years,False,Gen Z
Wellington City,15210,2023,15-19 Years,False,Gen Z
Lower Hutt City,6620,2023,15-19 Years,False,Gen Z
Upper Hutt City,2880,2023,15-19 Years,False,Gen Z
Waimakariri District,4200,2023,15-19 Years,False,Gen Z
Manurewa Local Board Area,8420,2023,15-19 Years,False,Gen Z
Mangere-Otahuhu Local Board Area,7470,2023,15-19 Years,False,Gen Z
Otara-Papatoetoe Local Board Area,7050,2023,15-19 Years,False,Gen Z
Area Outside Territorial Authority,0,2023,15-19 Years,False,Gen Z
Maungakiekie-Tamaki Local Board Area,4720,2023,15-19 Years,False,Gen Z
Orakei Local Board Area,5420,2023,15-19 Years,False,Gen Z
Puketapapa Local Board Area,3470,2023,15-19 Years,False,Gen Z
Albert-Eden Local Board Area,6470,2023,15-19 Years,False,Gen Z
Whau Local Board Area,5070,2023,15-19 Years,False,Gen Z
Waitemata Local Board Area,4730,2023,15-19 Years,False,Gen Z
Waiheke Local Board Area,480,2023,15-19 Years,False,Gen Z
Aotea/great Barrier Local Board Area,25,2023,15-19 Years,False,Gen Z
Waitakere Ranges Local Board Area,3730,2023,15-19 Years,False,Gen Z
Henderson-Massey Local Board Area,8330,2023,15-19 Years,False,Gen Z
Devonport-Takapuna Local Board Area,3650,2023,15-19 Years,False,Gen Z
Kaipatiki Local Board Area,4770,2023,15-19 Years,False,Gen Z
Upper Harbour Local Board Area,4000,2023,15-19 Years,False,Gen Z
Hibiscus And Bays Local Board Area,7270,2023,15-19 Years,False,Gen Z
Auckland,109940,2023,15-19 Years,False,Gen Z
Kaipara District,1340,2023,15-19 Years,False,Gen Z
Whangarei District,6040,2023,15-19 Years,False,Gen Z
Far North District,4570,2023,15-19 Years,False,Gen Z
"Total, New Zealand",327180,2023,15-19 Years,False,Gen Z
Rodney Local Board Area,4790,2023,15-19 Years,False,Gen Z
Invercargill City,3680,2023,15-19 Years,False,Gen Z
Tararua District,900,2023,20-24 Years,False,Gen Z
Palmerston North City,7610,2023,20-24 Years,False,Gen Z
Manawatu District,1610,2023,20-24 Years,False,Gen Z
Rangitikei District,870,2023,20-24 Years,False,Gen Z
Whanganui District,2480,2023,20-24 Years,False,Gen Z
Ruapehu District,620,2023,20-24 Years,False,Gen Z
South Taranaki District,1560,2023,20-24 Years,False,Gen Z
Stratford District,520,2023,20-24 Years,False,Gen Z
New Plymouth District,4340,2023,20-24 Years,False,Gen Z
Central Hawke's Bay District,630,2023,20-24 Years,False,Gen Z
Napier City,3520,2023,20-24 Years,False,Gen Z
Hastings District,4920,2023,20-24 Years,False,Gen Z
Wairoa District,530,2023,20-24 Years,False,Gen Z
Gisborne District,2940,2023,20-24 Years,False,Gen Z
