Region,Population,Year,Age,65 and over,Generation
Hamilton City,8670,2001,35-39 Years,False,Gen X
Matamata-Piako District,2320,2001,35-39 Years,False,Gen X
Waikato District,4290,2001,35-39 Years,False,Gen X
Henderson-Massey Local Board Area,7670,2001,35-39 Years,False,Gen X
Hauraki District,1360,2001,35-39 Years,False,Gen X
Franklin Local Board Area,4660,2001,35-39 Years,False,Gen X
Papakura Local Board Area,2940,2001,35-39 Years,False,Gen X
Manurewa Local Board Area,5840,2001,35-39 Years,False,Gen X
Otara-Papatoetoe Local Board Area,5220,2001,35-39 Years,False,Gen X
Mangere-Otahuhu Local Board Area,4750,2001,35-39 Years,False,Gen X
Howick Local Board Area,7920,2001,35-39 Years,False,Gen X
Maungakiekie-Tamaki Local Board Area,5770,2001,35-39 Years,False,Gen X
Orakei Local Board Area,5960,2001,35-39 Years,False,Gen X
Puketapapa Local Board Area,4140,2001,35-39 Years,False,Gen X
Albert-Eden Local Board Area,8630,2001,35-39 Years,False,Gen X
Whau Local Board Area,5890,2001,35-39 Years,False,Gen X
Waitemata Local Board Area,4800,2001,35-39 Years,False,Gen X
Waiheke Local Board Area,620,2001,35-39 Years,False,Gen X
Aotea/great Barrier Local Board Area,85,2001,35-39 Years,False,Gen X
Thames-Coromandel District,1670,2001,35-39 Years,False,Gen X
Gisborne District,3260,2001,35-39 Years,False,Gen X
Nelson City,3240,1996,35-39 Years,False,Baby Boomer
South Wairarapa District,700,1996,35-39 Years,False,Baby Boomer
Matamata-Piako District,2420,1996,35-39 Years,False,Baby Boomer
Waikato District,4250,1996,35-39 Years,False,Baby Boomer
Hauraki District,1530,1996,35-39 Years,False,Baby Boomer
Thames-Coromandel District,1690,1996,35-39 Years,False,Baby Boomer
Franklin Local Board Area,4220,1996,35-39 Years,False,Baby Boomer
Papakura Local Board Area,2790,1996,35-39 Years,False,Baby Boomer
Manurewa Local Board Area,4790,1996,35-39 Years,False,Baby Boomer
Otara-Papatoetoe Local Board Area,4730,1996,35-39 Years,False,Baby Boomer
Mangere-Otahuhu Local Board Area,4250,1996,35-39 Years,False,Baby Boomer
Howick Local Board Area,6170,1996,35-39 Years,False,Baby Boomer
Maungakiekie-Tamaki Local Board Area,5090,1996,35-39 Years,False,Baby Boomer
Orakei Local Board Area,5710,1996,35-39 Years,False,Baby Boomer
Puketapapa Local Board Area,3660,1996,35-39 Years,False,Baby Boomer
Albert-Eden Local Board Area,7800,1996,35-39 Years,False,Baby Boomer
Hamilton City,8250,1996,35-39 Years,False,Baby Boomer
Whau Local Board Area,4790,1996,35-39 Years,False,Baby Boomer
Waiheke Local Board Area,550,1996,35-39 Years,False,Baby Boomer
Aotea/great Barrier Local Board Area,135,1996,35-39 Years,False,Baby Boomer
Waitakere Ranges Local Board Area,4070,1996,35-39 Years,False,Baby Boomer
Henderson-Massey Local Board Area,6740,1996,35-39 Years,False,Baby Boomer
Devonport-Takapuna Local Board Area,3840,1996,35-39 Years,False,Baby Boomer
Kaipatiki Local Board Area,6020,1996,35-39 Years,False,Baby Boomer
Upper Harbour Local Board Area,2480,1996,35-39 Years,False,Baby Boomer
Hibiscus And Bays Local Board Area,5480,1996,35-39 Years,False,Baby Boomer
Rodney Local Board Area,3320,1996,35-39 Years,False,Baby Boomer
Auckland,90830,1996,35-39 Years,False,Baby Boomer
Kaipara District,1320,1996,35-39 Years,False,Baby Boomer
Whangarei District,5230,1996,35-39 Years,False,Baby Boomer
Far North District,4170,1996,35-39 Years,False,Baby Boomer
"Total, New Zealand",295830,1996,35-39 Years,False,Baby Boomer
Waitemata Local Board Area,4190,1996,35-39 Years,False,Baby Boomer
Tasman District,3210,1996,35-39 Years,False,Baby Boomer
Waipa District,3250,1996,35-39 Years,False,Baby Boomer
South Waikato District,1960,1996,35-39 Years,False,Baby Boomer
Carterton District,530,1996,35-39 Years,False,Baby Boomer
Masterton District,1760,1996,35-39 Years,False,Baby Boomer
Wellington City,14240,1996,35-39 Years,False,Baby Boomer
Lower Hutt City,8090,1996,35-39 Years,False,Baby Boomer
Upper Hutt City,3110,1996,35-39 Years,False,Baby Boomer
Porirua City,3840,1996,35-39 Years,False,Baby Boomer
Kapiti Coast District,2700,1996,35-39 Years,False,Baby Boomer
Horowhenua District,2230,1996,35-39 Years,False,Baby Boomer
Tararua District,1570,1996,35-39 Years,False,Baby Boomer
Palmerston North City,5550,1996,35-39 Years,False,Baby Boomer
Manawatu District,2180,1996,35-39 Years,False,Baby Boomer
Rangitikei District,1380,1996,35-39 Years,False,Baby Boomer
Whanganui District,3460,1996,35-39 Years,False,Baby Boomer
Ruapehu District,1500,1996,35-39 Years,False,Baby Boomer
Otorohanga District,850,1996,35-39 Years,False,Baby Boomer
South Taranaki District,2240,1996,35-39 Years,False,Baby Boomer
New Plymouth District,5640,1996,35-39 Years,False,Baby Boomer
Central Hawke's Bay District,1100,1996,35-39 Years,False,Baby Boomer
Napier City,4040,1996,35-39 Years,False,Baby Boomer
Hastings District,5220,1996,35-39 Years,False,Baby Boomer
Wairoa District,810,1996,35-39 Years,False,Baby Boomer
Gisborne District,3720,1996,35-39 Years,False,Baby Boomer
Opotiki District,750,1996,35-39 Years,False,Baby Boomer
Kawerau District,600,1996,35-39 Years,False,Baby Boomer
Whakatane District,2690,1996,35-39 Years,False,Baby Boomer
Rotorua District,5250,1996,35-39 Years,False,Baby Boomer
Tauranga City,5820,1996,35-39 Years,False,Baby Boomer
Western Bay of Plenty District,2730,1996,35-39 Years,False,Baby Boomer
Taupo District,2550,1996,35-39 Years,False,Baby Boomer
Waitomo District,830,1996,35-39 Years,False,Baby Boomer
Stratford District,780,1996,35-39 Years,False,Baby Boomer
Wairoa District,650,2001,35-39 Years,False,Gen X
Area Outside Territorial Authority,10,2006,35-39 Years,False,Gen X
Napier City,3940,2001,35-39 Years,False,Gen X
Manawatu District,1930,2006,35-39 Years,False,Gen X
Rangitikei District,980,2006,35-39 Years,False,Gen X
Whanganui District,2760,2006,35-39 Years,False,Gen X
Ruapehu District,1040,2006,35-39 Years,False,Gen X
South Taranaki District,1940,2006,35-39 Years,False,Gen X
Stratford District,590,2006,35-39 Years,False,Gen X
New Plymouth District,4970,2006,35-39 Years,False,Gen X
Central Hawke's Bay District,890,2006,35-39 Years,False,Gen X
Napier City,3860,2006,35-39 Years,False,Gen X
Hastings District,5100,2006,35-39 Years,False,Gen X
Wairoa District,510,2006,35-39 Years,False,Gen X
Gisborne District,3070,2006,35-39 Years,False,Gen X
Opotiki District,580,2006,35-39 Years,False,Gen X
Kawerau District,480,2006,35-39 Years,False,Gen X
Hastings District,5190,2001,35-39 Years,False,Gen X
Whakatane District,2260,2006,35-39 Years,False,Gen X
Tauranga City,7520,2006,35-39 Years,False,Gen X
Western Bay of Plenty District,2810,2006,35-39 Years,False,Gen X
Taupo District,2520,2006,35-39 Years,False,Gen X
Waitomo District,640,2006,35-39 Years,False,Gen X
South Waikato District,1630,2006,35-39 Years,False,Gen X
Otorohanga District,680,2006,35-39 Years,False,Gen X
Waipa District,3260,2006,35-39 Years,False,Gen X
Hamilton City,9520,2006,35-39 Years,False,Gen X
Matamata-Piako District,2250,2006,35-39 Years,False,Gen X
Waikato District,4540,2006,35-39 Years,False,Gen X
Hauraki District,1200,2006,35-39 Years,False,Gen X
Thames-Coromandel District,1620,2006,35-39 Years,False,Gen X
Franklin Local Board Area,5060,2006,35-39 Years,False,Gen X
Papakura Local Board Area,3090,2006,35-39 Years,False,Gen X
Rotorua District,4940,2006,35-39 Years,False,Gen X
Manurewa Local Board Area,6310,2006,35-39 Years,False,Gen X
Tararua District,1230,2006,35-39 Years,False,Gen X
Kapiti Coast District,3190,2006,35-39 Years,False,Gen X
Gore District,800,2006,35-39 Years,False,Gen X
Southland District,2140,2006,35-39 Years,False,Gen X
Clutha District,1170,2006,35-39 Years,False,Gen X
Dunedin City,7890,2006,35-39 Years,False,Gen X
Queenstown-Lakes District,2270,2006,35-39 Years,False,Gen X
Central Otago District,1070,2006,35-39 Years,False,Gen X
Waitaki District,1200,2006,35-39 Years,False,Gen X
Chatham Islands Territory,75,2006,35-39 Years,False,Gen X
Waimate District,450,2006,35-39 Years,False,Gen X
Mackenzie District,280,2006,35-39 Years,False,Gen X
Timaru District,2910,2006,35-39 Years,False,Gen X
Ashburton District,1990,2006,35-39 Years,False,Gen X
Selwyn District,2970,2006,35-39 Years,False,Gen X
Christchurch City,27260,2006,35-39 Years,False,Gen X
Horowhenua District,1860,2006,35-39 Years,False,Gen X
Waimakariri District,3570,2006,35-39 Years,False,Gen X
Westland District,650,2006,35-39 Years,False,Gen X
Grey District,970,2006,35-39 Years,False,Gen X
Buller District,680,2006,35-39 Years,False,Gen X
Kaikoura District,270,2006,35-39 Years,False,Gen X
Marlborough District,2990,2006,35-39 Years,False,Gen X
Nelson City,3180,2006,35-39 Years,False,Gen X
Tasman District,3370,2006,35-39 Years,False,Gen X
South Wairarapa District,630,2006,35-39 Years,False,Gen X
Carterton District,490,2006,35-39 Years,False,Gen X
Masterton District,1450,2006,35-39 Years,False,Gen X
Wellington City,16230,2006,35-39 Years,False,Gen X
Lower Hutt City,7950,2006,35-39 Years,False,Gen X
Upper Hutt City,3140,2006,35-39 Years,False,Gen X
Porirua City,3970,2006,35-39 Years,False,Gen X
Hurunui District,760,2006,35-39 Years,False,Gen X
Otara-Papatoetoe Local Board Area,5710,2006,35-39 Years,False,Gen X
Palmerston North City,5390,2006,35-39 Years,False,Gen X
Howick Local Board Area,9360,2006,35-39 Years,False,Gen X
Selwyn District,2500,2001,35-39 Years,False,Gen X
Christchurch City,25620,2001,35-39 Years,False,Gen X
Waimakariri District,3250,2001,35-39 Years,False,Gen X
Hurunui District,800,2001,35-39 Years,False,Gen X
Westland District,660,2001,35-39 Years,False,Gen X
Grey District,1050,2001,35-39 Years,False,Gen X
Buller District,800,2001,35-39 Years,False,Gen X
Kaikoura District,270,2001,35-39 Years,False,Gen X
Marlborough District,2980,2001,35-39 Years,False,Gen X
Nelson City,3410,2001,35-39 Years,False,Gen X
Tasman District,3330,2001,35-39 Years,False,Gen X
South Wairarapa District,660,2001,35-39 Years,False,Gen X
Carterton District,490,2001,35-39 Years,False,Gen X
Wellington City,15650,2001,35-39 Years,False,Gen X
Ashburton District,2010,2001,35-39 Years,False,Gen X
Lower Hutt City,8220,2001,35-39 Years,False,Gen X
Porirua City,3970,2001,35-39 Years,False,Gen X
Kapiti Coast District,3110,2001,35-39 Years,False,Gen X
Horowhenua District,2190,2001,35-39 Years,False,Gen X
Tararua District,1450,2001,35-39 Years,False,Gen X
Palmerston North City,5640,2001,35-39 Years,False,Gen X
Manawatu District,2030,2001,35-39 Years,False,Gen X
Rangitikei District,1220,2001,35-39 Years,False,Gen X
Whanganui District,3100,2001,35-39 Years,False,Gen X
Ruapehu District,1200,2001,35-39 Years,False,Gen X
South Taranaki District,2160,2001,35-39 Years,False,Gen X
Stratford District,680,2001,35-39 Years,False,Gen X
New Plymouth District,5060,2001,35-39 Years,False,Gen X
Central Hawke's Bay District,970,2001,35-39 Years,False,Gen X
Mangere-Otahuhu Local Board Area,5330,2006,35-39 Years,False,Gen X
Upper Hutt City,3100,2001,35-39 Years,False,Gen X
Timaru District,3070,2001,35-39 Years,False,Gen X
Masterton District,1590,2001,35-39 Years,False,Gen X
Waimate District,510,2001,35-39 Years,False,Gen X
Mackenzie District,310,2001,35-39 Years,False,Gen X
Orakei Local Board Area,6170,2006,35-39 Years,False,Gen X
Puketapapa Local Board Area,3840,2006,35-39 Years,False,Gen X
Albert-Eden Local Board Area,8420,2006,35-39 Years,False,Gen X
Whau Local Board Area,5860,2006,35-39 Years,False,Gen X
Waitemata Local Board Area,5560,2006,35-39 Years,False,Gen X
Waiheke Local Board Area,650,2006,35-39 Years,False,Gen X
Aotea/great Barrier Local Board Area,55,2006,35-39 Years,False,Gen X
Waitakere Ranges Local Board Area,4290,2006,35-39 Years,False,Gen X
Henderson-Massey Local Board Area,8550,2006,35-39 Years,False,Gen X
Devonport-Takapuna Local Board Area,4030,2006,35-39 Years,False,Gen X
Kaipatiki Local Board Area,7260,2006,35-39 Years,False,Gen X
Upper Harbour Local Board Area,3910,2006,35-39 Years,False,Gen X
Hibiscus And Bays Local Board Area,6500,2006,35-39 Years,False,Gen X
Rodney Local Board Area,4130,2006,35-39 Years,False,Gen X
Maungakiekie-Tamaki Local Board Area,6210,2006,35-39 Years,False,Gen X
Kaipara District,1190,2006,35-39 Years,False,Gen X
Auckland,110290,2006,35-39 Years,False,Gen X
Waitaki District,1420,2001,35-39 Years,False,Gen X
Central Otago District,1030,2001,35-39 Years,False,Gen X
Queenstown-Lakes District,1580,2001,35-39 Years,False,Gen X
Dunedin City,8510,2001,35-39 Years,False,Gen X
Clutha District,1390,2001,35-39 Years,False,Gen X
Southland District,2460,2001,35-39 Years,False,Gen X
Chatham Islands Territory,60,2001,35-39 Years,False,Gen X
Invercargill City,3970,2001,35-39 Years,False,Gen X
Area Outside Territorial Authority,10,2001,35-39 Years,False,Gen X
"Total, New Zealand",312560,2006,35-39 Years,False,Gen X
Far North District,3680,2006,35-39 Years,False,Gen X
Whangarei District,5290,2006,35-39 Years,False,Gen X
Gore District,980,2001,35-39 Years,False,Gen X
Southland District,2200,2013,40-44 Years,False,Gen X
Gore District,750,2013,40-44 Years,False,Gen X
Invercargill City,3520,2013,40-44 Years,False,Gen X
Area Outside Territorial Authority,5,2013,40-44 Years,False,Gen X
Upper Harbour Local Board Area,4230,2018,40-44 Years,False,Gen X
"Total, New Zealand",301180,2018,40-44 Years,False,Gen X
Kaipara District,1220,2018,40-44 Years,False,Gen X
Whangarei District,5140,2018,40-44 Years,False,Gen X
Auckland,105850,2018,40-44 Years,False,Gen X
Rodney Local Board Area,4300,2018,40-44 Years,False,Gen X
Hibiscus And Bays Local Board Area,7120,2018,40-44 Years,False,Gen X
Clutha District,1360,2013,40-44 Years,False,Gen X
Far North District,3510,2018,40-44 Years,False,Gen X
Dunedin City,7940,2013,40-44 Years,False,Gen X
Ashburton District,2270,2013,40-44 Years,False,Gen X
Central Otago District,1250,2013,40-44 Years,False,Gen X
Waitaki District,1280,2013,40-44 Years,False,Gen X
Chatham Islands Territory,50,2013,40-44 Years,False,Gen X
Waimate District,540,2013,40-44 Years,False,Gen X
Mackenzie District,340,2013,40-44 Years,False,Gen X
Timaru District,3000,2013,40-44 Years,False,Gen X
Selwyn District,4090,2013,40-44 Years,False,Gen X
Christchurch City,25570,2013,40-44 Years,False,Gen X
Waimakariri District,4250,2013,40-44 Years,False,Gen X
Hurunui District,860,2013,40-44 Years,False,Gen X
Westland District,610,2013,40-44 Years,False,Gen X
Grey District,1020,2013,40-44 Years,False,Gen X
Buller District,730,2013,40-44 Years,False,Gen X
Kaipatiki Local Board Area,6360,2018,40-44 Years,False,Gen X
Queenstown-Lakes District,2550,2013,40-44 Years,False,Gen X
Devonport-Takapuna Local Board Area,4080,2018,40-44 Years,False,Gen X
Gisborne District,2810,2018,40-44 Years,False,Gen X
Waitakere Ranges Local Board Area,4060,2018,40-44 Years,False,Gen X
Opotiki District,450,2018,40-44 Years,False,Gen X
Kawerau District,360,2018,40-44 Years,False,Gen X
Whakatane District,2100,2018,40-44 Years,False,Gen X
Rotorua District,4580,2018,40-44 Years,False,Gen X
Tauranga City,8790,2018,40-44 Years,False,Gen X
Western Bay of Plenty District,2940,2018,40-44 Years,False,Gen X
Taupo District,2240,2018,40-44 Years,False,Gen X
Waitomo District,520,2018,40-44 Years,False,Gen X
South Waikato District,1320,2018,40-44 Years,False,Gen X
Otorohanga District,620,2018,40-44 Years,False,Gen X
Waipa District,3340,2018,40-44 Years,False,Gen X
Hamilton City,10210,2018,40-44 Years,False,Gen X
Matamata-Piako District,1910,2018,40-44 Years,False,Gen X
Waikato District,5080,2018,40-44 Years,False,Gen X
Henderson-Massey Local Board Area,8100,2018,40-44 Years,False,Gen X
Hauraki District,1040,2018,40-44 Years,False,Gen X
Franklin Local Board Area,5070,2018,40-44 Years,False,Gen X
Papakura Local Board Area,3450,2018,40-44 Years,False,Gen X
Manurewa Local Board Area,5710,2018,40-44 Years,False,Gen X
Otara-Papatoetoe Local Board Area,5050,2018,40-44 Years,False,Gen X
Mangere-Otahuhu Local Board Area,4830,2018,40-44 Years,False,Gen X
Howick Local Board Area,10100,2018,40-44 Years,False,Gen X
Maungakiekie-Tamaki Local Board Area,5380,2018,40-44 Years,False,Gen X
Orakei Local Board Area,6020,2018,40-44 Years,False,Gen X
Puketapapa Local Board Area,3520,2018,40-44 Years,False,Gen X
Albert-Eden Local Board Area,7190,2018,40-44 Years,False,Gen X
Whau Local Board Area,5440,2018,40-44 Years,False,Gen X
Waitemata Local Board Area,5170,2018,40-44 Years,False,Gen X
Waiheke Local Board Area,620,2018,40-44 Years,False,Gen X
Aotea/great Barrier Local Board Area,55,2018,40-44 Years,False,Gen X
Thames-Coromandel District,1460,2018,40-44 Years,False,Gen X
Kaikoura District,240,2013,40-44 Years,False,Gen X
Far North District,3710,2013,40-44 Years,False,Gen X
Nelson City,3590,2013,40-44 Years,False,Gen X
Hamilton City,9860,2013,40-44 Years,False,Gen X
Matamata-Piako District,2150,2013,40-44 Years,False,Gen X
Waikato District,5230,2013,40-44 Years,False,Gen X
Hauraki District,1150,2013,40-44 Years,False,Gen X
Thames-Coromandel District,1640,2013,40-44 Years,False,Gen X
Franklin Local Board Area,5560,2013,40-44 Years,False,Gen X
Papakura Local Board Area,3250,2013,40-44 Years,False,Gen X
Manurewa Local Board Area,5860,2013,40-44 Years,False,Gen X
Otara-Papatoetoe Local Board Area,5130,2013,40-44 Years,False,Gen X
Mangere-Otahuhu Local Board Area,4940,2013,40-44 Years,False,Gen X
Howick Local Board Area,10420,2013,40-44 Years,False,Gen X
Maungakiekie-Tamaki Local Board Area,5250,2013,40-44 Years,False,Gen X
Orakei Local Board Area,6510,2013,40-44 Years,False,Gen X
Puketapapa Local Board Area,3730,2013,40-44 Years,False,Gen X
Waipa District,3510,2013,40-44 Years,False,Gen X
Albert-Eden Local Board Area,7980,2013,40-44 Years,False,Gen X
Waitemata Local Board Area,5370,2013,40-44 Years,False,Gen X
Waiheke Local Board Area,700,2013,40-44 Years,False,Gen X
Aotea/great Barrier Local Board Area,70,2013,40-44 Years,False,Gen X
Waitakere Ranges Local Board Area,4380,2013,40-44 Years,False,Gen X
Henderson-Massey Local Board Area,8250,2013,40-44 Years,False,Gen X
Devonport-Takapuna Local Board Area,4330,2013,40-44 Years,False,Gen X
Kaipatiki Local Board Area,6700,2013,40-44 Years,False,Gen X
Upper Harbour Local Board Area,4590,2013,40-44 Years,False,Gen X
Hibiscus And Bays Local Board Area,7290,2013,40-44 Years,False,Gen X
Rodney Local Board Area,4590,2013,40-44 Years,False,Gen X
Auckland,110370,2013,40-44 Years,False,Gen X
Kaipara District,1220,2013,40-44 Years,False,Gen X
Whangarei District,5610,2013,40-44 Years,False,Gen X
Wairoa District,420,2018,40-44 Years,False,Gen X
Whau Local Board Area,5490,2013,40-44 Years,False,Gen X
Otorohanga District,660,2013,40-44 Years,False,Gen X
South Waikato District,1580,2013,40-44 Years,False,Gen X
Waitomo District,570,2013,40-44 Years,False,Gen X
Tasman District,3730,2013,40-44 Years,False,Gen X
South Wairarapa District,700,2013,40-44 Years,False,Gen X
Carterton District,600,2013,40-44 Years,False,Gen X
Masterton District,1560,2013,40-44 Years,False,Gen X
Wellington City,15030,2013,40-44 Years,False,Gen X
Lower Hutt City,7560,2013,40-44 Years,False,Gen X
Upper Hutt City,3340,2013,40-44 Years,False,Gen X
Porirua City,4170,2013,40-44 Years,False,Gen X
Kapiti Coast District,3560,2013,40-44 Years,False,Gen X
Horowhenua District,1810,2013,40-44 Years,False,Gen X
Tararua District,1170,2013,40-44 Years,False,Gen X
Palmerston North City,5330,2013,40-44 Years,False,Gen X
Manawatu District,1930,2013,40-44 Years,False,Gen X
Rangitikei District,890,2013,40-44 Years,False,Gen X
Whanganui District,2740,2013,40-44 Years,False,Gen X
Ruapehu District,750,2013,40-44 Years,False,Gen X
South Taranaki District,1860,2013,40-44 Years,False,Gen X
Taupo District,2470,2013,40-44 Years,False,Gen X
Western Bay of Plenty District,3010,2013,40-44 Years,False,Gen X
Tauranga City,8350,2013,40-44 Years,False,Gen X
Rotorua District,4670,2013,40-44 Years,False,Gen X
Whakatane District,2340,2013,40-44 Years,False,Gen X
Kawerau District,370,2013,40-44 Years,False,Gen X
Marlborough District,2910,2013,40-44 Years,False,Gen X
Opotiki District,510,2013,40-44 Years,False,Gen X
Wairoa District,460,2013,40-44 Years,False,Gen X
Hastings District,5390,2013,40-44 Years,False,Gen X
Napier City,4080,2013,40-44 Years,False,Gen X
Central Hawke's Bay District,880,2013,40-44 Years,False,Gen X
New Plymouth District,5430,2013,40-44 Years,False,Gen X
Stratford District,640,2013,40-44 Years,False,Gen X
Gisborne District,3060,2013,40-44 Years,False,Gen X
Hastings District,5040,2018,40-44 Years,False,Gen X
Mangere-Otahuhu Local Board Area,5460,2023,40-44 Years,False,Millennial
Central Hawke's Bay District,840,2018,40-44 Years,False,Gen X
Tararua District,1030,2023,40-44 Years,False,Millennial
Palmerston North City,5490,2023,40-44 Years,False,Millennial
Manawatu District,1960,2023,40-44 Years,False,Millennial
Rangitikei District,780,2023,40-44 Years,False,Millennial
Whanganui District,2650,2023,40-44 Years,False,Millennial
Ruapehu District,660,2023,40-44 Years,False,Millennial
South Taranaki District,1760,2023,40-44 Years,False,Millennial
Stratford District,540,2023,40-44 Years,False,Millennial
New Plymouth District,5640,2023,40-44 Years,False,Millennial
Central Hawke's Bay District,860,2023,40-44 Years,False,Millennial
Napier City,3810,2023,40-44 Years,False,Millennial
Hastings District,5580,2023,40-44 Years,False,Millennial
Wairoa District,450,2023,40-44 Years,False,Millennial
Gisborne District,2960,2023,40-44 Years,False,Millennial
Horowhenua District,1750,2023,40-44 Years,False,Millennial
Opotiki District,530,2023,40-44 Years,False,Millennial
Whakatane District,1940,2023,40-44 Years,False,Millennial
Rotorua District,4710,2023,40-44 Years,False,Millennial
Tauranga City,10090,2023,40-44 Years,False,Millennial
Western Bay of Plenty District,3330,2023,40-44 Years,False,Millennial
Taupo District,2450,2023,40-44 Years,False,Millennial
Waitomo District,560,2023,40-44 Years,False,Millennial
South Waikato District,1270,2023,40-44 Years,False,Millennial
Otorohanga District,620,2023,40-44 Years,False,Millennial
Waipa District,3570,2023,40-44 Years,False,Millennial
Hamilton City,11960,2023,40-44 Years,False,Millennial
Matamata-Piako District,2010,2023,40-44 Years,False,Millennial
Waikato District,5790,2023,40-44 Years,False,Millennial
Hauraki District,1010,2023,40-44 Years,False,Millennial
Thames-Coromandel District,1570,2023,40-44 Years,False,Millennial
Kawerau District,390,2023,40-44 Years,False,Millennial
Franklin Local Board Area,5410,2023,40-44 Years,False,Millennial
Kapiti Coast District,3290,2023,40-44 Years,False,Millennial
Upper Hutt City,3190,2023,40-44 Years,False,Millennial
"Total, New Zealand",316570,2013,40-44 Years,False,Gen X
Invercargill City,3680,2023,40-44 Years,False,Millennial
Gore District,680,2023,40-44 Years,False,Millennial
Southland District,2160,2023,40-44 Years,False,Millennial
Clutha District,1070,2023,40-44 Years,False,Millennial
Dunedin City,7600,2023,40-44 Years,False,Millennial
Queenstown-Lakes District,3790,2023,40-44 Years,False,Millennial
Central Otago District,1510,2023,40-44 Years,False,Millennial
Waitaki District,1380,2023,40-44 Years,False,Millennial
Chatham Islands Territory,40,2023,40-44 Years,False,Millennial
Waimate District,450,2023,40-44 Years,False,Millennial
Mackenzie District,310,2023,40-44 Years,False,Millennial
Timaru District,2690,2023,40-44 Years,False,Millennial
Ashburton District,2160,2023,40-44 Years,False,Millennial
Porirua City,4120,2023,40-44 Years,False,Millennial
Selwyn District,5750,2023,40-44 Years,False,Millennial
Waimakariri District,3870,2023,40-44 Years,False,Millennial
Hurunui District,740,2023,40-44 Years,False,Millennial
Westland District,490,2023,40-44 Years,False,Millennial
Grey District,670,2023,40-44 Years,False,Millennial
Buller District,420,2023,40-44 Years,False,Millennial
Kaikoura District,250,2023,40-44 Years,False,Millennial
Marlborough District,3010,2023,40-44 Years,False,Millennial
Nelson City,3390,2023,40-44 Years,False,Millennial
Tasman District,3300,2023,40-44 Years,False,Millennial
South Wairarapa District,680,2023,40-44 Years,False,Millennial
Carterton District,540,2023,40-44 Years,False,Millennial
Masterton District,1620,2023,40-44 Years,False,Millennial
Wellington City,14400,2023,40-44 Years,False,Millennial
Lower Hutt City,8120,2023,40-44 Years,False,Millennial
Christchurch City,25560,2023,40-44 Years,False,Millennial
Napier City,3840,2018,40-44 Years,False,Gen X
Papakura Local Board Area,4720,2023,40-44 Years,False,Millennial
Otara-Papatoetoe Local Board Area,6050,2023,40-44 Years,False,Millennial
Ashburton District,2060,2018,40-44 Years,False,Gen X
Selwyn District,4580,2018,40-44 Years,False,Gen X
Christchurch City,23920,2018,40-44 Years,False,Gen X
Waimakariri District,3740,2018,40-44 Years,False,Gen X
Hurunui District,780,2018,40-44 Years,False,Gen X
Westland District,490,2018,40-44 Years,False,Gen X
Grey District,740,2018,40-44 Years,False,Gen X
Buller District,520,2018,40-44 Years,False,Gen X
Kaikoura District,230,2018,40-44 Years,False,Gen X
Marlborough District,2930,2018,40-44 Years,False,Gen X
Nelson City,3230,2018,40-44 Years,False,Gen X
Tasman District,3300,2018,40-44 Years,False,Gen X
South Wairarapa District,700,2018,40-44 Years,False,Gen X
Carterton District,560,2018,40-44 Years,False,Gen X
Timaru District,2660,2018,40-44 Years,False,Gen X
Masterton District,1390,2018,40-44 Years,False,Gen X
Lower Hutt City,7070,2018,40-44 Years,False,Gen X
Upper Hutt City,3100,2018,40-44 Years,False,Gen X
Porirua City,4010,2018,40-44 Years,False,Gen X
Kapiti Coast District,3070,2018,40-44 Years,False,Gen X
Horowhenua District,1730,2018,40-44 Years,False,Gen X
Tararua District,1000,2018,40-44 Years,False,Gen X
Palmerston North City,5100,2018,40-44 Years,False,Gen X
Manawatu District,1890,2018,40-44 Years,False,Gen X
Rangitikei District,760,2018,40-44 Years,False,Gen X
Whanganui District,2520,2018,40-44 Years,False,Gen X
Ruapehu District,680,2018,40-44 Years,False,Gen X
South Taranaki District,1610,2018,40-44 Years,False,Gen X
Stratford District,570,2018,40-44 Years,False,Gen X
New Plymouth District,5260,2018,40-44 Years,False,Gen X
Wellington City,14430,2018,40-44 Years,False,Gen X
Manurewa Local Board Area,6900,2023,40-44 Years,False,Millennial
Mackenzie District,290,2018,40-44 Years,False,Gen X
Chatham Islands Territory,35,2018,40-44 Years,False,Gen X
Howick Local Board Area,12770,2023,40-44 Years,False,Millennial
Maungakiekie-Tamaki Local Board Area,6000,2023,40-44 Years,False,Millennial
Orakei Local Board Area,6010,2023,40-44 Years,False,Millennial
Puketapapa Local Board Area,4320,2023,40-44 Years,False,Millennial
Albert-Eden Local Board Area,7020,2023,40-44 Years,False,Millennial
Whau Local Board Area,6310,2023,40-44 Years,False,Millennial
Waitemata Local Board Area,5730,2023,40-44 Years,False,Millennial
Waiheke Local Board Area,550,2023,40-44 Years,False,Millennial
Aotea/great Barrier Local Board Area,50,2023,40-44 Years,False,Millennial
Waitakere Ranges Local Board Area,4040,2023,40-44 Years,False,Millennial
Henderson-Massey Local Board Area,9330,2023,40-44 Years,False,Millennial
Devonport-Takapuna Local Board Area,4140,2023,40-44 Years,False,Millennial
Kaipatiki Local Board Area,7480,2023,40-44 Years,False,Millennial
Upper Harbour Local Board Area,6100,2023,40-44 Years,False,Millennial
Waimate District,460,2018,40-44 Years,False,Gen X
Hibiscus And Bays Local Board Area,8890,2023,40-44 Years,False,Millennial
Auckland,122560,2023,40-44 Years,False,Millennial
