Region,Population,Year,Age,65 and over,Generation
Tararua District,1220,2018,0-4 Years,False,Other
Palmerston North City,5810,2018,0-4 Years,False,Other
Manawatu District,2000,2018,0-4 Years,False,Other
Rangitikei District,1060,2018,0-4 Years,False,Other
Whanganui District,2830,2018,0-4 Years,False,Other
Ruapehu District,920,2018,0-4 Years,False,Other
South Taranaki District,2040,2018,0-4 Years,False,Other
Stratford District,650,2018,0-4 Years,False,Other
Masterton District,1620,2018,0-4 Years,False,Other
Manurewa Local Board Area,8860,2023,0-4 Years,False,Other
Waimate District,430,2018,0-4 Years,False,Other
Waitaki District,1240,2018,0-4 Years,False,Other
Mangere-Otahuhu Local Board Area,6600,2023,0-4 Years,False,Other
Howick Local Board Area,8110,2023,0-4 Years,False,Other
Maungakiekie-Tamaki Local Board Area,5440,2023,0-4 Years,False,Other
Orakei Local Board Area,3530,2023,0-4 Years,False,Other
Puketapapa Local Board Area,3250,2023,0-4 Years,False,Other
Albert-Eden Local Board Area,4330,2023,0-4 Years,False,Other
Whau Local Board Area,5300,2023,0-4 Years,False,Other
Waitemata Local Board Area,2570,2023,0-4 Years,False,Other
Waiheke Local Board Area,340,2023,0-4 Years,False,Other
Aotea/great Barrier Local Board Area,50,2023,0-4 Years,False,Other
Waitakere Ranges Local Board Area,3450,2023,0-4 Years,False,Other
Henderson-Massey Local Board Area,9350,2023,0-4 Years,False,Other
Devonport-Takapuna Local Board Area,2560,2023,0-4 Years,False,Other
Kaipatiki Local Board Area,5650,2023,0-4 Years,False,Other
Chatham Islands Territory,35,2018,0-4 Years,False,Other
Upper Harbour Local Board Area,4450,2023,0-4 Years,False,Other
Rodney Local Board Area,4900,2023,0-4 Years,False,Other
Auckland,104260,2023,0-4 Years,False,Other
Kaipara District,1600,2023,0-4 Years,False,Other
Whangarei District,6040,2023,0-4 Years,False,Other
Far North District,4490,2023,0-4 Years,False,Other
"Total, New Zealand",301870,2023,0-4 Years,False,Other
Area Outside Territorial Authority,0,2018,0-4 Years,False,Other
Invercargill City,3360,2018,0-4 Years,False,Other
Gore District,710,2018,0-4 Years,False,Other
Southland District,2100,2018,0-4 Years,False,Other
Clutha District,1080,2018,0-4 Years,False,Other
Dunedin City,6250,2018,0-4 Years,False,Other
Queenstown-Lakes District,2200,2018,0-4 Years,False,Other
Central Otago District,1150,2018,0-4 Years,False,Other
Hibiscus And Bays Local Board Area,5950,2023,0-4 Years,False,Other
"Total, New Zealand",311930,2013,0-4 Years,False,Other
Hastings District,5560,2018,0-4 Years,False,Other
Invercargill City,3330,2006,0-4 Years,False,Gen Z
Kaipatiki Local Board Area,5480,2001,0-4 Years,False,Gen Z
Upper Harbour Local Board Area,2490,2001,0-4 Years,False,Gen Z
Hibiscus And Bays Local Board Area,4430,2001,0-4 Years,False,Gen Z
Rodney Local Board Area,3130,2001,0-4 Years,False,Gen Z
Auckland,92830,2001,0-4 Years,False,Gen Z
Kaipara District,1320,2001,0-4 Years,False,Gen Z
Whangarei District,5070,2001,0-4 Years,False,Gen Z
Far North District,4350,2001,0-4 Years,False,Gen Z
"Total, New Zealand",281000,2001,0-4 Years,False,Gen Z
Area Outside Territorial Authority,10,1996,0-4 Years,False,Millennial
Invercargill City,4040,1996,0-4 Years,False,Millennial
Gore District,1040,1996,0-4 Years,False,Millennial
Southland District,2520,1996,0-4 Years,False,Millennial
Clutha District,1510,1996,0-4 Years,False,Millennial
Devonport-Takapuna Local Board Area,2880,2001,0-4 Years,False,Gen Z
Dunedin City,7550,1996,0-4 Years,False,Millennial
Central Otago District,1070,1996,0-4 Years,False,Millennial
Waitaki District,1490,1996,0-4 Years,False,Millennial
Chatham Islands Territory,80,1996,0-4 Years,False,Millennial
Waimate District,590,1996,0-4 Years,False,Millennial
Mackenzie District,330,1996,0-4 Years,False,Millennial
Timaru District,2950,1996,0-4 Years,False,Millennial
Ashburton District,1760,1996,0-4 Years,False,Millennial
Selwyn District,1880,1996,0-4 Years,False,Millennial
Christchurch City,21660,1996,0-4 Years,False,Millennial
Waimakariri District,2570,1996,0-4 Years,False,Millennial
Hurunui District,760,1996,0-4 Years,False,Millennial
Westland District,690,1996,0-4 Years,False,Millennial
Grey District,1150,1996,0-4 Years,False,Millennial
Buller District,870,1996,0-4 Years,False,Millennial
Queenstown-Lakes District,1000,1996,0-4 Years,False,Millennial
Marlborough District,2800,1996,0-4 Years,False,Millennial
Henderson-Massey Local Board Area,7910,2001,0-4 Years,False,Gen Z
Aotea/great Barrier Local Board Area,75,2001,0-4 Years,False,Gen Z
Gisborne District,4030,2001,0-4 Years,False,Gen Z
Opotiki District,790,2001,0-4 Years,False,Gen Z
Kawerau District,690,2001,0-4 Years,False,Gen Z
Whakatane District,2870,2001,0-4 Years,False,Gen Z
Rotorua District,5630,2001,0-4 Years,False,Gen Z
Tauranga City,6660,2001,0-4 Years,False,Gen Z
Western Bay of Plenty District,2620,2001,0-4 Years,False,Gen Z
Taupo District,2530,2001,0-4 Years,False,Gen Z
Waitomo District,820,2001,0-4 Years,False,Gen Z
South Waikato District,2220,2001,0-4 Years,False,Gen Z
Otorohanga District,740,2001,0-4 Years,False,Gen Z
Waipa District,2850,2001,0-4 Years,False,Gen Z
Hamilton City,9260,2001,0-4 Years,False,Gen Z
Matamata-Piako District,2370,2001,0-4 Years,False,Gen Z
